"ID","NAME","DESCRIPTION","IID"
"BETA","BETA","BETA MARKET",168
"BETP","BETP","BLOOMBERG TRADEBOOK JAPAN LIMITED",169
"BETX","BETX","BET OTC BILAT COMMODITY DERIVATIVES",170
"BEUD","BEUD","CBOE EUROPE - BXE DARK ORDER BOOK (NL)",171
"BEUE","BEUE","CBOE EUROPE - BXE ORDER BOOKS (NL)",172
"BEUF","BEUF","CBOE EUROPE - BXE OFF-BOOK (NL)",173
"BEUO","BEUO","CBOE EUROPE - REGULATED MARKET OFF BOOK (NL)",174
"BEUP","BEUP","CBOE EUROPE - DXE PERIODIC (NL)",175
"BEUT","BEUT","CBOE EUROPE - REGULATED MARKET INTEGRATED BOOK (NL)",176
"BFEX","BFEX","BAHRAIN FINANCIAL EXCHANGE",177
"BFPT","BFPT","BANCO FINANTIA S.A. - SYSTEMATIC INTERNALISER",178
"BGCA","BGCA","BGC PARTNERS (AUSTRALIA) PTY LTD",179
"BGCB","BGCB","BGC BROKERS LP - TRAYPORT",180
"BGCD","BGCD","BGC DERIVATIVE MARKETS L.P.",181
"BGCF","BGCF","BGC FINANCIAL INC",182
"BGCI","BGCI","BGC BROKERS LP",183
"BGCM","BGCM","BGC BROKERS LP - MTF",184
"BGCO","BGCO","BGC BROKERS LP - OTF",185
"BGFI","BGFI","BERENBERG FIXED INCOME - SYSTEMATIC INTERNALISER",186
"BGFU","BGFU","BERENBERG FIXED INCOME UK - SYSTEMATIC INTERNALISER",187
"BGFX","BGFX","BERENBERG FX - SYSTEMATIC INTERNALISER",188
"BGHX","BGHX","BALKAN GAS HUB EAD",189
"BGLU","BGLU","BGL BNP PARIBAS  - SYSTEMATIC INTERNALISER",190
"BGSI","BGSI","BERENBERG - SYSTEMATIC - INTERNALISER",191
"BGUK","BGUK","BERENBERG - SYSTEMATIC INTERNALISER UK",192
"BHSF","BHSF","CBOE SEF, LLC",193
"BHWA","BHWA","BANK HANDLOWY W WARSZAWIE S.A. - SYSTEMATIC INTERNALISER",194
"BIDS","BIDS","BIDS TRADING L.P.",195
